date,average_demand_mw,peak_demand_mw,minimum_demand_mw,total_energy_gwh,hour_of_day,load_factor
2022-01-01,14512.25,16955,12491,348.294,17,0.8559274550280154
2022-01-02,15963.666666666666,18923,13292,383.128,17,0.8436118304003946
2022-01-03,17275.708333333332,20051,14920,414.617,17,0.8615883663325187
2022-01-04,16883.208333333332,19409,14617,405.197,17,0.8698649252065193
2022-01-05,16690.916666666668,19339,13752,400.582,17,0.863070306978989
2022-01-06,17348.708333333332,20257,14404,416.369,17,0.8564302874726432
2022-01-07,17734.5,20513,14983,425.628,17,0.8645493101935358
2022-01-08,16972.625,19331,15675,407.343,17,0.8780003621126687
2022-01-09,16147.208333333334,18595,14022,387.533,17,0.8683629111768397
2022-01-10,17855.291666666668,20614,14901,428.527,17,0.8661730700818214
2022-01-11,18931.541666666668,21250,16491,454.357,17,0.8908960784313726
2022-01-12,17735.916666666668,20101,15131,425.662,17,0.8823400162512645
2022-01-13,17478.458333333332,19635,14611,419.483,17,0.8901684916390799
2022-01-14,17659.333333333332,20343,14791,423.824,17,0.8680791099313441
2022-01-15,18233.041666666668,20762,16271,437.593,17,0.8781929326012267
2022-01-16,17308.625,19952,15892,415.407,17,0.8675132818765036
2022-01-17,17178.916666666668,19172,14591,412.294,17,0.8960419709298283
2022-01-18,17448.875,19821,14588,418.773,17,0.8803226376065789
2022-01-19,17330.25,19663,14972,415.926,18,0.8813634745461019
2022-01-20,18500.25,21349,15796,444.006,17,0.8665628366668228
2022-01-21,18832.75,20785,16937,451.986,17,0.9060740918931922
2022-01-22,17694.333333333332,19717,16229,424.664,17,0.8974150901928961
2022-01-23,17327.083333333332,20287,15132,415.85,17,0.8540978623420581
2022-01-24,18853.416666666668,21261,16061,452.482,17,0.8867605788376214
2022-01-25,18387.208333333332,21000,15826,441.293,18,0.8755813492063491
2022-01-26,18778.958333333332,20770,16455,450.695,18,0.9041385812871128
2022-01-27,18324.958333333332,20296,15806,439.799,18,0.9028852154775981
2022-01-28,18412.125,20914,15568,441.891,18,0.8803731949890026
2022-01-29,18075.958333333332,20270,16365,433.823,18,0.8917591679000164
2022-01-30,17489.416666666668,19754,15764,419.746,18,0.8853607708143499
2022-01-31,17859.0,20093,15508,428.616,18,0.8888170009456029
2022-02-01,17017.625,19183,14972,408.423,18,0.8871201063441589
2022-02-02,17363.791666666668,19598,14454,416.731,18,0.8859981460693268
2022-02-03,17886.125,20435,14972,429.267,18,0.8752691460729142
2022-02-04,18629.666666666668,20585,16094,447.112,18,0.9050117399400859
2022-02-05,17627.5,19679,15843,423.06,18,0.8957518166573505
2022-02-06,16715.041666666668,18952,15085,401.161,18,0.8819671626565359
2022-02-07,17175.583333333332,19458,14417,412.214,18,0.8827003460444718
2022-02-08,16907.5,19384,14533,405.78,18,0.8722399917457697
2022-02-09,16433.541666666668,18874,14209,394.405,18,0.8706973437886335
2022-02-10,16752.166666666668,19431,13796,402.052,18,0.8621361055358276
2022-02-11,16766.375,18815,13961,402.393,17,0.891117459473824
2022-02-12,16584.541666666668,19509,13761,398.029,18,0.8500969637944881
