day_type,hour_of_day,average_demand_mw,p90_demand_mw
Weekday,0,14280.655751469354,16515.0
Weekday,1,13931.789252728799,16097.0
Weekday,2,13762.579345088161,15875.0
Weekday,3,13771.07220822838,15807.0
Weekday,4,14078.146095717884,16025.0
Weekday,5,14867.725440806045,16715.0
Weekday,6,15982.530646515534,17882.0
Weekday,7,16752.978169605372,18966.0
Weekday,8,16958.556675062973,19375.0
Weekday,9,17027.512174643158,19606.0
Weekday,10,17075.07640638119,19742.0
Weekday,11,17112.193115029386,19701.0
Weekday,12,17153.52644836272,19835.0
Weekday,13,17166.582703610413,19814.0
Weekday,14,17270.98740554156,20020.0
Weekday,15,17630.03694374475,20360.0
Weekday,16,18153.370277078087,20785.0
Weekday,17,18397.1973131822,21021.0
Weekday,18,18369.323257766584,20879.0
Weekday,19,18172.663308144416,20543.0
Weekday,20,17742.136859781695,20162.0
Weekday,21,16862.481947942906,19286.0
Weekday,22,15815.94458438287,18166.0
Weekday,23,14918.778337531487,17242.0
Weekend,0,14019.717573221757,16375.9
Weekend,1,13650.096234309623,15921.5
Weekend,2,13428.263598326359,15646.1
Weekend,3,13352.84309623431,15594.2
Weekend,4,13412.916317991632,15583.4
Weekend,5,13655.42468619247,15762.6
Weekend,6,14153.020920502093,16302.0
Weekend,7,14788.805439330545,16974.4
Weekend,8,15302.357740585774,17639.2
Weekend,9,15653.516736401674,18151.600000000002
Weekend,10,15896.665271966527,18561.8
Weekend,11,16047.769874476988,18675.5
Weekend,12,16073.910041841003,18716.1
Weekend,13,16077.556485355648,18850.6
Weekend,14,16198.372384937238,18990.3
Weekend,15,16597.117154811716,19367.4
Weekend,16,17179.569037656904,19913.8
Weekend,17,17538.696652719664,20289.1
Weekend,18,17492.744769874476,20183.4
Weekend,19,17194.472803347282,19625.3
Weekend,20,16773.55230125523,19202.5
Weekend,21,16074.150627615063,18437.7
Weekend,22,15225.282426778243,17482.100000000002
Weekend,23,14460.615062761506,16667.2
