month,average_demand_mw,peak_demand_mw,total_energy_gwh
2022-01,17587.887096774193,21349,13085.388
2022-02,17094.842261904763,20918,11487.734
2022-03,15882.842741935483,19763,11816.835
2022-04,14257.009722222223,17256,10265.047
2022-05,14072.46505376344,21292,10469.914
2022-06,15180.358333333334,21954,10929.858
2022-07,16590.891129032258,22607,12343.623
2022-08,16968.083333333332,21871,12624.254
2022-09,15019.577777777778,20350,10814.096
2022-10,13957.213709677419,17294,10384.167
2022-11,15339.140277777778,19441,11044.181
2022-12,16538.666666666668,20326,12304.768
2023-01,16827.56989247312,20486,12519.712
2023-02,16704.122023809523,21388,11225.17
2023-03,15922.404569892473,18811,11846.269
2023-04,14266.163888888888,17547,10271.638
2023-05,13920.362903225807,20787,10356.75
2023-06,15444.18611111111,21463,11119.814
2023-07,16811.538978494624,22686,12507.785
2023-08,15898.682795698925,21364,11828.62
2023-09,15274.383333333333,23713,10997.556
2023-10,14694.005376344086,20849,10932.34
2023-11,15911.891666666666,20579,11456.562
2023-12,16221.112903225807,20004,12068.508
2024-01,17382.575268817203,20880,12932.636
2024-02,16432.722701149425,19703,11437.175
2024-03,15435.899193548386,18813,11484.309
2024-04,14484.927777777777,17958,10429.148
2024-05,14360.055107526881,20436,10683.881
2024-06,16033.03611111111,23852,11543.786
2024-07,17508.791666666668,23356,13026.541
2024-08,16950.432795698925,23179,12611.122
2024-09,15644.863888888889,21546,11264.302
2024-10,14716.68817204301,17998,10949.216
2024-11,15623.127777777778,19260,11248.652
2024-12,17212.907258064515,20929,12806.403
2025-01,18230.41935483871,21940,13563.432
2025-02,18126.675595238095,21302,12181.126
2025-03,16114.021505376344,20301,11988.832
2025-04,14948.534722222223,19492,10762.945
2025-05,14370.550471063258,18153,10677.319
2025-06,16383.701388888889,24862,11796.265
2025-07,18599.62634408602,24528,13838.122
2025-08,17290.638440860213,24789,12864.235
2025-09,15579.602777777778,19931,11217.314
2025-10,15091.041666666666,20335,11227.735
2025-11,16590.291666666668,19731,11945.01
2025-12,18178.979838709678,21406,13525.161
2026-01,18653.91935483871,22042,13878.516
2026-02,18227.10714285714,21601,12248.616
2026-03,16822.583333333332,20397,12516.002
2026-04,15305.444444444445,18461,11019.92
2026-05,14858.877688172042,20820,11055.005
2026-06,16479.42777777778,23526,11865.188
2026-07,18574.885978428352,25646,12055.101
