timestamp,ontario_demand_mw,market_demand_mw
2026-07-14 16:00:00,25646,27360
2026-07-14 17:00:00,25517,27516
2026-07-14 15:00:00,25384,26960
2026-07-14 18:00:00,25285,27359
2026-07-14 19:00:00,25081,27105
2026-07-14 14:00:00,25057,26909
2026-07-14 13:00:00,24897,26239
2025-06-24 18:00:00,24862,25807
2025-08-11 17:00:00,24789,25783
2026-07-14 12:00:00,24746,25190
2026-07-02 17:00:00,24734,26752
2026-07-14 20:00:00,24720,26139
2025-06-23 18:00:00,24712,26477
2025-06-24 15:00:00,24648,26467
2026-07-02 16:00:00,24633,27678
2026-07-02 18:00:00,24612,26202
2025-06-23 15:00:00,24609,26608
2025-08-11 18:00:00,24584,25092
2025-06-23 19:00:00,24574,26498
2025-06-23 17:00:00,24563,26649
2025-06-24 12:00:00,24548,25595
2025-07-24 18:00:00,24528,26473
2025-07-24 17:00:00,24524,26472
2025-08-11 16:00:00,24500,25384
2025-08-11 12:00:00,24493,24517
